ds,yhat,yhat_lower,yhat_upper
2024-04-15,6758.859911006767,6629.838808454485,6890.009110699588
2024-04-16,6775.619732625573,6643.382827132185,6904.197654006835
2024-04-17,6785.347064796841,6656.641943036327,6923.06645779825
2024-04-18,6780.344443561664,6654.0342870229315,6909.54224535289
2024-04-19,6789.374753477623,6658.067647473326,6929.551024806107
2024-04-22,6753.924808908345,6617.90845860402,6883.159150018378
2024-04-23,6770.684630527223,6633.112944591658,6905.507133479
2024-04-24,6780.411962689189,6654.241642631336,6907.85211011919
2024-04-25,6775.409341444797,6649.432252099939,6910.735723127041
2024-04-26,6784.439651351402,6652.183429971306,6919.435820642769
2024-04-29,6748.98970675441,6618.912194883859,6873.652353730917
2024-04-30,6765.749528363863,6639.830227012179,6898.648675326209
2024-05-01,6775.476860525927,6642.160593350556,6910.933929013112
2024-05-02,6770.474239281449,6638.804576216996,6885.7783805236895
2024-05-03,6779.506384634327,6635.94928178137,6915.650091349909
2024-05-06,6744.0619463756575,6611.210725872145,6868.62142748151
2024-05-07,6760.823603431319,6631.364825150519,6884.529744016459
2024-05-08,6770.55277103949,6649.259362924911,6904.206950604491
2024-05-09,6765.551985241169,6629.495796928836,6895.592076559811
2024-05-10,6774.584130593997,6646.62636010044,6904.592481965976
2024-05-13,6739.139693363351,6610.844062215266,6875.992189916412
2024-05-14,6755.901350761638,6623.744264200845,6885.08188476879
2024-05-15,6765.630518712472,6632.992645646486,6895.471711271351
2024-05-16,6760.629733256813,6631.037640656753,6891.608876798122
2024-05-17,6769.661878952322,6632.91160998153,6906.088125417587
2024-05-20,6734.217441721671,6606.682114916273,6869.204717761671
2024-05-21,6750.979098540379,6627.164886097904,6892.184345286632
2024-05-22,6760.708265911512,6632.183657556429,6905.982412600653
2024-05-23,6755.707479876245,6617.26580086686,6878.757050140678
2024-05-24,6764.7396249921385,6630.767958220778,6892.353951933916
2024-05-28,6746.05684284123,6622.05519986759,6867.363055086909
2024-05-29,6755.786010212285,6621.744958889862,6884.453767874394
2024-05-30,6750.785224177034,6617.179882184272,6877.454655727725
2024-05-31,6759.81736946241,6626.674330303941,6885.823881828632
2024-06-03,6724.372931001247,6592.2878790783025,6855.376288433737
2024-06-04,6741.134587989423,6611.1873570874895,6875.115335386701
2024-06-05,6750.863755530055,6621.024921878938,6884.8520367277015
2024-06-06,6745.862969664206,6619.20102345328,6879.074643729228
2024-06-07,6754.895114949545,6624.82975313866,6879.452584918626
2024-06-10,6719.450687390256,6582.036777411491,6845.275168790932
2024-06-11,6736.212348012427,6605.50632125268,6866.80566142807
2024-06-12,6745.941519186949,6615.030774912693,6881.604190931481
2024-06-13,6740.940736955033,6616.4962265254935,6870.93879417945
2024-06-14,6749.972885874312,6612.338520618029,6886.179735169383
2024-06-17,6714.528458315033,6580.462487607583,6843.660403508053
2024-06-18,6731.290118937131,6590.9430635057215,6865.654640555197
2024-06-20,6742.243004430276,6612.134834018515,6876.638113107358
2024-06-21,6754.387401624758,6626.319220106187,6890.879107547407
2024-06-24,6728.279718891087,6608.602444986341,6860.798661455322
2024-06-25,6748.153627788448,6618.36136472424,6876.978751012238
2024-06-26,6760.995047238201,6631.697734607113,6895.04295499105
2024-06-27,6759.10651328148,6632.465382838393,6891.164065229322
2024-06-28,6776.015548349536,6638.191214440927,6906.368181487221
2024-07-01,6764.20177923626,6633.48319144351,6893.061559282099
2024-07-02,6788.840326007137,6663.9712013356,6926.51606853669
2024-07-03,6806.44638333033,6674.557148667344,6928.260132569754
2024-07-05,6826.231522315206,6686.57338089135,6954.023146501783
2024-07-08,6814.417753201916,6687.527459396665,6942.403098371523
2024-07-09,6839.0563004034875,6710.882013809938,6975.388469466176
2024-07-10,6856.662358157686,6730.092688060118,6995.4412096175665
2024-07-11,6859.5384625052875,6733.690412854203,6996.981639391904
2024-07-12,6876.447498004124,6740.833512748038,7005.8794842999805
2024-07-15,6864.633730183361,6728.04513939037,7002.4759217351
2024-07-16,6889.272277384902,6763.640553137477,7020.2974386546175
2024-07-17,6906.8783351390575,6780.007813739678,7045.986883986381
2024-07-18,6909.754439378506,6779.01737347325,7045.469327796486
2024-07-19,6926.663474769154,6797.436732927823,7067.2084145585495
2024-07-22,6914.849706623652,6785.045060292743,7048.961178435045
2024-07-23,6939.488253717022,6806.484834634084,7068.914341781417
2024-07-24,6957.094311362928,6826.963293200695,7089.986467290195
2024-07-25,6959.970415602396,6835.410772232093,7099.055583573025
2024-07-26,6976.879461986211,6842.265060662924,7102.331902964572
2024-07-29,6965.065726820672,6836.030033608457,7101.042935023778
2024-07-30,6989.704284907374,6861.634092035513,7119.1867736658205
2024-07-31,7007.3103535465625,6871.825319810491,7142.9260508361
2024-08-01,7010.186468779265,6890.13679796157,7148.0890299933935
2024-08-02,7027.095515163214,6893.611444026471,7153.963502947868
2024-08-05,7023.559754049217,6898.077900185041,7147.3671774647055
2024-08-06,7050.957636819867,6918.8375252378255,7180.652820012826
2024-08-07,7071.323030142903,6940.535988301201,7198.894277896375
2024-08-08,7076.958470059501,6950.3991596479345,7202.913395713707
2024-08-09,7096.626841127278,6974.89565213156,7231.643884357586
2024-08-12,7093.09108001339,6965.045285232903,7222.729194312954
2024-08-13,7120.488962783919,6985.873206917696,7256.140698073488
2024-08-14,7141.013847562283,7024.0861047673925,7270.351561561753
2024-08-15,7146.808778934231,7019.015707024668,7280.543040131155
2024-08-16,7166.636641457301,7033.26709774922,7298.810714870478
2024-08-19,7163.579354709459,7032.267334243561,7280.954485118482
2024-08-20,7191.136728935372,7058.943169124882,7322.8195364294215
2024-08-21,7211.661613713706,7081.901935323218,7338.7801086359395
